title,genre,emotion
Beyond Late,POP,love
Beyond Late,POP,anger
Beyond Late,POP,joy
To climb,POP,joy
To climb,POP,love
Salem,POP,joy
Salem,POP,anger
Persephone,POP,joy
Persephone,POP,anger
Persephone,POP,fear
Persephone,POP,sadness
Persephone,POP,love
Sanctuary,POP,joy
Sanctuary,POP,anger
Sanctuary,POP,love
fifteen Minutes,POP,love
fifteen Minutes,POP,sadness
fifteen Minutes,POP,joy
Drink the night,POP,love
Drink the night,POP,sadness
Drink the night,POP,anger
Drink the night,POP,joy
The Alkonost,POP,love
The Alkonost,POP,joy
The Alkonost,ELECTRIC,joy
A warning to giants,POP,fear
A warning to giants,POP,sadness
A warning to giants,POP,joy
A warning to giants,POP,love
A warning to giants,POP,anger
A moment too soon,POP,love
A moment too soon,POP,joy
A moment too soon,POP,sadness
Fountain of life,POP,sadness
Fountain of life,POP,anger
Fountain of life,POP,love
Fountain of life,POP,joy
Invisible city,POP,sadness
Invisible city,POP,love
Film in Rhythm,POP,joy
Film in Rhythm,POP,fear
Film in Rhythm,POP,anger
You are the reson,POP,joy
You are the reson,POP,anger
You are the reson,POP,sadness
Ghostly feeling,POP,love
Ghostly feeling,POP,anger
Ghostly feeling,POP,joy
Fly Free,POP,love
Fly Free,POP,joy
Fly Free,POP,sadness
Fly Free,POP,anger
Fly Free,POP,fear
Calm(Ammonite),POP,love
Calm(Ammonite),POP,anger
Calm(Ammonite),POP,joy
Call me snake,POP,joy
Destiny trip,POP,love
Destiny trip,POP,joy
Something about eve,POP,joy
Something about eve,POP,anger
Something about eve,POP,fear
Something about eve,POP,sadness
Something about eve,POP,love
Mercurial Girl,POP,anger
Mercurial Girl,POP,joy
Mercurial Girl,POP,love
Mercurial Girl,POP,fear
Mercurial Girl,POP,sadness
Brilliant Day,POP,love
Brilliant Day,POP,joy
Till my cup Runs Over,POP,joy
Fire,POP,love
Fire,POP,joy
Fire,POP,anger
Fire,POP,fear
Fire,POP,sadness
Below -DU-remix,POP,anger
Below -DU-remix,POP,joy
Below -DU-remix,POP,love
Below -DU-remix,POP,sadness
Below -DU-remix,POP,fear
Tigers,POP,love
Tigers,POP,sadness
Tigers,POP,joy
Tigers,POP,anger
Tigers,POP,fear
Shining Star Games,POP,anger
Shining Star Games,POP,joy
Shining Star Games,POP,love
Shining Star Games,POP,fear
Shining Star Games,POP,sadness
Pais Oceano,POP,joy
Pais Oceano,POP,sadness
Pais Oceano,POP,love
Pais Oceano,POP,anger
Pais Oceano,POP,fear
Sooner or Later,POP,joy
Sooner or Later,POP,anger
Sooner or Later,POP,love
Sooner or Later,POP,sadness
Sooner or Later,POP,fear
Fountain Street,POP,fear
Fountain Street,POP,joy
Fountain Street,POP,anger
Fountain Street,POP,love
Fountain Street,POP,sadness
Bastard,POP,sadness
Bastard,POP,joy
Bastard,POP,anger
Bastard,POP,love
Bastard,POP,fear
30 Years,POP,love
30 Years,POP,joy
30 Years,POP,anger
30 Years,POP,fear
30 Years,POP,sadness
The lonely minstrl,POP,joy
The lonely minstrl,POP,sadness
The lonely minstrl,POP,anger
The lonely minstrl,POP,love
The lonely minstrl,POP,fear
Frontliner Blues,POP,joy
Frontliner Blues,POP,anger
Frontliner Blues,POP,love
Frontliner Blues,POP,fear
Frontliner Blues,POP,sadness
Modern Anguish,POP,joy
Modern Anguish,POP,love
Modern Anguish,POP,anger
Modern Anguish,POP,fear
Modern Anguish,POP,sadness
jade,POP,love
jade,POP,joy
jade,POP,anger
jade,POP,fear
jade,POP,sadness
The River,POP,love
The River,POP,joy
The River,POP,sadness
Laying Down Lounge,POP,anger
Laying Down Lounge,POP,love
Laying Down Lounge,POP,joy
Excerpt From Alice,POP,joy
Give me a perfect world,POP,sadness
Give me a perfect world,POP,joy
Give me a perfect world,POP,anger
Into Heaven,POP,love
Into Heaven,POP,joy
Into Heaven,POP,anger
IMpressions,POP,joy
IMpressions,POP,love
IMpressions,POP,anger
IMpressions,POP,fear
IMpressions,POP,sadness
Calling,POP,anger
Calling,POP,love
Calling,POP,joy
Calling,POP,fear
Calling,POP,sadness
Nocturne,POP,anger
Nocturne,POP,fear
Nocturne,POP,joy
Nocturne,POP,love
Nocturne,POP,sadness
Enertia,POP,love
Enertia,POP,joy
Enertia,POP,anger
Enertia,POP,fear
2 percent er,POP,fear
2 percent er,POP,sadness
2 percent er,POP,joy
Moonrise,POP,sadness
Moonrise,POP,joy
Moonrise,POP,anger
Rise,POP,anger
Rise,POP,joy
Rise,POP,love
River of light,POP,sadness
River of light,POP,love
River of light,POP,joy
Between The lies,POP,anger
Between The lies,POP,sadness
Between The lies,POP,joy
Slipping into Violet,POP,love
Slipping into Violet,POP,joy
Wounded Little Bird,POP,joy
Rubber,POP,anger
Rubber,POP,joy
Rubber,POP,fear
There once was a time,POP,love
There once was a time,POP,joy
There once was a time,POP,anger
There once was a time,POP,sadness
The collider,POP,joy
The collider,POP,fear
The collider,POP,love
The collider,POP,sadness
ROund and round,POP,anger
ROund and round,POP,joy
ROund and round,POP,sadness
ROund and round,POP,fear
ROund and round,POP,love
Unemotional,POP,anger
Unemotional,POP,fear
Unemotional,POP,joy
Unemotional,POP,sadness
Unemotional,POP,love
Give me love,POP,sadness
Give me love,POP,joy
Give me love,POP,love
Give me love,POP,anger
Charming Gun,POP,joy
Charming Gun,POP,anger
Charming Gun,POP,love
changing SKy,POP,fear
changing SKy,POP,love
changing SKy,POP,joy
Parallels,POP,anger
Parallels,POP,joy
Parallels,POP,love
Parallels,POP,sadness
Parallels,POP,fear
Up a hill,POP,joy
Just my luck,POP,sadness
Just my luck,POP,love
Just my luck,POP,joy
Now and zen,POP,joy
My joan of Arc,POP,love
My joan of Arc,POP,anger
My joan of Arc,POP,joy
Night FLight over water,POP,joy
Brilliant Daze,POP,anger
Brilliant Daze,POP,fear
Brilliant Daze,POP,joy
Below,POP,sadness
Below,POP,anger
Below,POP,joy
What planet are we on,POP,fear
What planet are we on,POP,joy
What planet are we on,POP,sadness
What planet are we on,POP,anger
Planet you,POP,joy
Wounded little Bird,POP,fear
Wounded little Bird,POP,sadness
Wounded little Bird,POP,love
Wounded little Bird,POP,joy
In the middle,POP,joy
Clean for free,POP,love
Clean for free,POP,joy
Home to you,POP,joy
Home to you,POP,love
Fill me up,POP,fear
Fill me up,POP,sadness
Fill me up,POP,joy
Handshake Smiles,POP,fear
Handshake Smiles,POP,joy
no more,POP,joy
Better days,POP,fear
Better days,POP,anger
Better days,POP,joy
JImmy s Rig,POP,love
JImmy s Rig,POP,sadness
JImmy s Rig,POP,joy
Donot DO me no harm,POP,fear
Donot DO me no harm,POP,sadness
Donot DO me no harm,POP,joy
Say you will,POP,love
Say you will,POP,joy
Say you will,POP,anger
Fools,POP,joy
Fools,POP,love
Love song in G,POP,fear
Love song in G,POP,anger
Love song in G,POP,love
Love song in G,POP,joy
Love song in G,POP,sadness
Ovelha Negra,POP,love
Ovelha Negra,POP,anger
Ovelha Negra,POP,joy
Get what you want?,POP,joy
Get what you want?,POP,anger
O pobre,POP,joy
O pobre,POP,anger
O pobre,POP,love
One breath,POP,fear
One breath,POP,love
One breath,POP,joy
One breath,POP,anger
Superhero SOng,POP,anger
Superhero SOng,POP,joy
cuttin a rug,POP,anger
cuttin a rug,POP,sadness
cuttin a rug,POP,joy
Lilas,POP,love
Lilas,POP,anger
Lilas,POP,joy
Lilas,POP,sadness
Lilas,POP,fear
Without warning,POP,love
Without warning,POP,sadness
Without warning,POP,joy
Cruel Streak,POP,joy
sandy,POP,joy
sandy,POP,fear
sandy,POP,love
sandy,POP,sadness
sandy,POP,anger
Another reason,POP,love
Another reason,POP,joy
Devil s Daughter,POP,anger
Devil s Daughter,POP,love
Devil s Daughter,POP,joy
I told you not to write,POP,love
I told you not to write,POP,anger
I told you not to write,POP,joy
Junior High Smiles,POP,joy
Junior High Smiles,POP,love
Junior High Smiles,POP,anger
Junior High Smiles,POP,sadness
Junior High Smiles,POP,fear
The one that got way,CLASSIC,joy
The one that got way,CLASSIC,love
The one that got way,CLASSIC,sadness
The one that got way,CLASSIC,anger
The one that got way,CLASSIC,fear
Trio sonata in c major,CLASSIC,anger
Trio sonata in c major,CLASSIC,joy
Trio sonata in c major,CLASSIC,love
Trio sonata in c major,CLASSIC,fear
Trio sonata in c major,CLASSIC,sadness
21- sonata no. 2 in G,CLASSIC,sadness
21- sonata no. 2 in G,CLASSIC,fear
21- sonata no. 2 in G,CLASSIC,love
21- sonata no. 2 in G,CLASSIC,joy
Donata for violoncello,CLASSIC,anger
Donata for violoncello,CLASSIC,joy
Donata for violoncello,CLASSIC,fear
Donata for violoncello,CLASSIC,love
Donata for violoncello,CLASSIC,sadness
Handel-suite in Fa,CLASSIC,joy
Handel-suite in Fa,CLASSIC,love
Handel-suite in Fa,CLASSIC,anger
Intermezzo in B flat,CLASSIC,joy
Intermezzo in B flat,CLASSIC,anger
Intermezzo in B flat,CLASSIC,love
Intermezzo in B flat,CLASSIC,sadness
Prelude and fugue,CLASSIC,love
Prelude and fugue,CLASSIC,joy
Prelude and fugue,CLASSIC,sadness
Prelude and fugue,CLASSIC,fear
Prelude and fugue,CLASSIC,anger
Trio sonata in D minor,CLASSIC,fear
Trio sonata in D minor,CLASSIC,joy
Trio sonata in D minor,CLASSIC,love
Trio sonata in D minor,CLASSIC,sadness
Trio sonata in D minor,CLASSIC,anger
Suite in C major,CLASSIC,joy
Suite in C major,CLASSIC,love
Suite in C major,CLASSIC,sadness
Suite in C major,CLASSIC,anger
Suite in C major,CLASSIC,fear
Sonnerie -from handel,CLASSIC,anger
Sonnerie -from handel,CLASSIC,love
Sonnerie -from handel,CLASSIC,joy
Sonnerie -from handel,CLASSIC,sadness
Sonnerie -from handel,CLASSIC,fear
Carnaval Opus 9,CLASSIC,anger
Carnaval Opus 9,CLASSIC,joy
Carnaval Opus 9,CLASSIC,love
Carnaval Opus 9,CLASSIC,fear
Carnaval Opus 9,CLASSIC,sadness
Biber:sonata 6 in c,CLASSIC,love
Biber:sonata 6 in c,CLASSIC,sadness
Biber:sonata 6 in c,CLASSIC,joy
Biber:sonata 6 in c,CLASSIC,anger
Biber:sonata 6 in c,CLASSIC,fear
CHopin prelude in G,CLASSIC,joy
Sonata no 2 BMV,CLASSIC,sadness
Sonata no 2 BMV,CLASSIC,love
sonata No.4 BWV,CLASSIC,sadness
sonata No.4 BWV,CLASSIC,love
sonata No.4 BWV,CLASSIC,joy
Chopin Prelude in G,CLASSIC,fear
Chopin Prelude in G,CLASSIC,love
Chopin Prelude in G,CLASSIC,anger
Chopin Prelude in G,CLASSIC,joy
Chopin Prelude in G,CLASSIC,sadness
Intermezzo in E major,CLASSIC,fear
Intermezzo in E major,CLASSIC,joy
Intermezzo in E major,CLASSIC,anger
Intermezzo in E major,CLASSIC,sadness
22-sonata no.2,CLASSIC,joy
SOnata Bwv 1027,CLASSIC,joy
SOnata Bwv 1027,CLASSIC,love
SOnata Bwv 1027,CLASSIC,fear
SOnata Bwv 1027,CLASSIC,anger
SOnata Bwv 1027,CLASSIC,sadness
Set a 5 in c minor,CLASSIC,love
Set a 5 in c minor,CLASSIC,joy
SOnata for oboe,CLASSIC,joy
Confitebor,CLASSIC,joy
Wachet auf ruft uns die,CLASSIC,anger
Wachet auf ruft uns die,CLASSIC,joy
Wachet auf ruft uns die,CLASSIC,sadness
Wachet auf ruft uns die,CLASSIC,love
Wachet auf ruft uns die,CLASSIC,fear
Fandango,CLASSIC,joy
Fandango,CLASSIC,anger
Fandango,CLASSIC,fear
Fandango,CLASSIC,love
Fandango,CLASSIC,sadness
Froberger:Tocata lll in c,CLASSIC,joy
concerto in A minor,CLASSIC,love
concerto in A minor,CLASSIC,joy
Kyrie- Allergo moderato,CLASSIC,fear
Kyrie- Allergo moderato,CLASSIC,joy
Oboe Quartet in F,CLASSIC,joy
La savorgnana,CLASSIC,anger
La savorgnana,CLASSIC,joy
Gloria,CLASSIC,joy
Lenten is come,CLASSIC,sadness
Lenten is come,CLASSIC,joy
SOnata prima Detta,CLASSIC,joy
SOnata prima Detta,CLASSIC,love
Js  Bac:Partita in C,CLASSIC,joy
Sonata|Sostenuto,CLASSIC,joy
ANdreas Christi Sancte,CLASSIC,joy
Sonata in c major,CLASSIC,fear
Come again,CLASSIC,anger
Prelude,CLASSIC,sadness
Sinfonia in La maggiore,CLASSIC,love
Sinfonia in La maggiore,CLASSIC,joy
Sinfonia in La maggiore,CLASSIC,anger
Sinfonia in La maggiore,CLASSIC,fear
Sinfonia in La maggiore,CLASSIC,sadness
If i were wind I would,CLASSIC,joy
If i were wind I would,CLASSIC,anger
If i were wind I would,CLASSIC,fear
Sonata lll in d minor,CLASSIC,joy
Sonata 1,CLASSIC,sadness
Sonata 1,CLASSIC,anger
Rosenmuller Sonata,CLASSIC,love
Ballo Del Gran Ducca,CLASSIC,joy
Chansons sans paroles,CLASSIC,love
Chansons sans paroles,CLASSIC,sadness
sonata in c amjor for obo,CLASSIC,love
sonata in c amjor for obo,CLASSIC,anger
Drei Romanzen op.94,CLASSIC,love
Suite for D minor,CLASSIC,anger
Stabat mater,CLASSIC,love
If i were fire,CLASSIC,anger
If i were fire,CLASSIC,joy
If i were fire,CLASSIC,fear
Anon:Praeter return,CLASSIC,sadness
Anon:Praeter return,CLASSIC,love
Anon:Praeter return,CLASSIC,fear
Anon:Praeter return,CLASSIC,joy
La Ritirata DI madrid,CLASSIC,joy
La Ritirata DI madrid,CLASSIC,sadness
I i were pope,CLASSIC,anger
I i were pope,CLASSIC,joy
Phenix - Allegro,CLASSIC,joy
Phenix - Allegro,CLASSIC,anger
Avanti ll Quarto Brando,CLASSIC,love
Avanti ll Quarto Brando,CLASSIC,joy
Les Deloces de la Solitude,CLASSIC,love
Magnificant,CLASSIC,joy
Magnificant,CLASSIC,fear
If i were emperor,CLASSIC,anger
If i were emperor,CLASSIC,joy
If i were emperor,CLASSIC,love
Sinfonia in re minore,CLASSIC,anger
Sinfonia in re minore,CLASSIC,love
Chopin Prelude,CLASSIC,anger
Chopin Prelude,CLASSIC,joy
Sonata lll in c major,CLASSIC,joy
Sonata lll in c major,CLASSIC,anger
Waltz kk lva no.12 in E,CLASSIC,love
Waltz kk lva no.12 in E,CLASSIC,joy
Sonata 3 in c major,CLASSIC,joy
Sonata 3 in c major,CLASSIC,anger
Trouble fete,CLASSIC,anger
Trouble fete,CLASSIC,fear
Trouble fete,CLASSIC,love
Chopin prelude,CLASSIC,love
Chopin prelude,CLASSIC,anger
Gagliard Seconda,CLASSIC,joy
Alysoun,CLASSIC,love
Alysoun,CLASSIC,joy
Alysoun,CLASSIC,fear
More Palatino,CLASSIC,joy
More Palatino,CLASSIC,anger
Suite No 4 in E flat major,CLASSIC,love
Oxenford,CLASSIC,joy
BWV 104:l.Allegro,CLASSIC,anger
Chopin Prelude in c,CLASSIC,anger
BWV 1001/lv. presto,CLASSIC,fear
BWV 1001/lv. presto,CLASSIC,joy
BWV 1001/lv. presto,CLASSIC,love
Romance in B major,CLASSIC,joy
Romance in B major,CLASSIC,love
Romance in B major,CLASSIC,fear
Chopin Prelude in A Flat,CLASSIC,joy
Chopin Prelude in A Flat,CLASSIC,anger
Matteis:Ground after,CLASSIC,joy
Sonata no.1 in E minor,CLASSIC,joy
Phenix -Allegro,CLASSIC,joy
Sonata no. 1 in E minor,CLASSIC,love
Sonata no. 1 in E minor,CLASSIC,joy
Intermezzo in E flat major,CLASSIC,joy
Intermezzo in E flat major,CLASSIC,love
Intermezzo in E flat major,CLASSIC,sadness
Ma belle si ton ame,CLASSIC,anger
Ma belle si ton ame,CLASSIC,joy
Ma belle si ton ame,CLASSIC,love
Toccata XX,CLASSIC,love
Toccata XX,CLASSIC,joy
Aria Nona,CLASSIC,fear
Aria Nona,CLASSIC,joy
Aria Nona,CLASSIC,love
Capriccio in G minor,CLASSIC,sadness
Capriccio in G minor,CLASSIC,joy
Prelude,CLASSIC,joy
Prelude,CLASSIC,love
Romance in F sharp,CLASSIC,sadness
Romance in F sharp,CLASSIC,love
Romance in F sharp,CLASSIC,joy
WF Bach:Concerto in F Major,CLASSIC,anger
WF Bach:Concerto in F Major,CLASSIC,joy
Prelude:Suite in G Major,CLASSIC,anger
Prelude:Suite in G Major,CLASSIC,joy
Sonata Seconda A Tre,CLASSIC,joy
Sonata Seconda A Tre,CLASSIC,anger
To Malvina,CLASSIC,love
To Malvina,CLASSIC,joy
La Maltese,CLASSIC,love
La Maltese,CLASSIC,joy
La Maltese,CLASSIC,sadness
Concerto no.1 G major,CLASSIC,joy
Sonata in G major,CLASSIC,joy
Sonata in G major,CLASSIC,love
Liszt Variations on A,CLASSIC,joy
Liszt Variations on A,CLASSIC,love
La Moneverda,CLASSIC,anger
La Moneverda,CLASSIC,joy
La Moneverda,CLASSIC,love
Triosonate fur flute,CLASSIC,joy
Triosonate fur flute,CLASSIC,love
Partia No 5- Intrada(Biber),ROCK,love
Partia No 5- Intrada(Biber),ROCK,joy
Young again,ROCK,joy
Young again,ROCK,love
Young again,ROCK,fear
Young again,ROCK,anger
What i did on my summer vacation,ROCK,joy
What i did on my summer vacation,ROCK,love
Demons,ROCK,anger
Demons,ROCK,joy
When I cross the river,ROCK,anger
When I cross the river,ROCK,sadness
When I cross the river,ROCK,love
When I cross the river,ROCK,joy
Birds on a Rat race,ROCK,joy
Shattered,ROCK,love
Shattered,ROCK,sadness
Shattered,ROCK,joy
Texas Sky,ROCK,joy
Self possession,ROCK,fear
Self possession,ROCK,joy
Self possession,ROCK,anger
Dropping out of school,ROCK,fear
Dropping out of school,ROCK,anger
Dropping out of school,ROCK,joy
The soul,ROCK,fear
The soul,ROCK,anger
The soul,ROCK,joy
The soul,ROCK,love
The Spirit,ROCK,fear
The Spirit,ROCK,joy
The Spirit,ROCK,anger
DOPAMINE,ROCK,joy
DOPAMINE,ROCK,anger
Alone with nothing,ROCK,fear
Alone with nothing,ROCK,love
Alone with nothing,ROCK,sadness
Memories,ROCK,anger
Memories,ROCK,fear
Memories,ROCK,love
Talk,ROCK,fear
Talk,ROCK,joy
Sweet Melissa,ROCK,joy
